Name	Reactants	SMARTS	Products	Comments
1.1.1_07	Any;cpd00001;cpd00003;cpd00003	[#1;D1R0:1][#6:3]([#1;D1R0:2])([#8;H1D2R0:12])[#6:4]1[#8;H0D2:5][#6:6][#6:7][#6:8]([#8;H1D2R0:10])[#6:9]1[#8;H1D2R0:11].[#1;D1R0:14][#8;H2D2R0:13][#1;D1R0:15].[#6;H1D3:19]=[#6;H1D3:18][#6;H1D3:17]=[#7;H0D3:16].[#6;H1D3:23]=[#6;H1D3:22][#6;H1D3:21]=[#7;H0D3:20]>>[*:14].[*:15].[*:1]-[*:19]-[*:18]=[*:17]-[N+0:16].[*:2]-[*:23]-[*:22]=[*:21]-[N+0:20].[*:10]-[*:8]-1-[*:7]-[*:6]-[*:5]-[*:4](-[*:9]-1-[*:11])-[*:3](-[*:12])=[*:13]	Any;cpd00004;cpd00004;cpd00067;cpd00067	
1.1.1_08	cpd00004;cpd00067;Any	[#1;D1R0:5][#6;H2D4:4][#6;H0D3:3]=[#6;H1D3:2][#7;H0D3:1].[#1;R0:6].[#1;D1R0:14][#6;D4R0;H2,H3:12]([#1;D1R0:15])([R0;#6;H3D4,#1D1:13])[#6;H0D4R0:10]([#8;H1D2R0:11])([#6;H0D3R0:16]([#6:18])=[#8;H0D1R0:17])[#6;H0D3R0:8]([#8;H1D2R0:7])=[#8;H0D1R0:9]>>[#7+:1]=[*:2]-[*:3]=[*:4].[*:5]-[*:17]-[*:16](-[*:18])(-[*:12](-[*:13])(-[*:14])-[*:15])-[*:10](-[*:6])(-[*:11])-[*:8](-[*:7])=[*:9]	cpd00003;Any	
1.1.1_09	Any	[#1;D1R0:1][#8;H1D2R0:2][#6;D4;H0,H1,H2:3][#6;D4;H0,H1,H2:4][#6;D4;H0,H1,H2:5][#6;D4;H0,H1,H2:6][#6;D3R0;H0,H1AR0:7]([#6,#1D1AR0:8])=[#8;H0D1R0:9]>>[*:1]-[*:9]-[*:7]-1(-[*:8])-[*:2]-[*:3]-[*:4]-[*:5]-[*:6]-1	Any	
1.1.1_09.rev	Any	[#1;D1R0:1][#8;H1D2:2][#6:3]1[#6:8][#6:7][#6:6][#6:5][#8;H0D2:4]1>>[*:1]-[*:4]-[*:5]-[*:6]-[*:7]-[*:8]-[*:3]=[*:2]	Any	
1.1.1_10	Any	[#1;D1R0:1][#8;H1D2R0:2][#6;D4;H0,H1,H2:3][#6;D4;H0,H1,H2:4][#6;D4;H0,H1,H2:5][#6;D3R0;H0,H1:6]([#6,#1D1AR0:7])=[#8;H0D1R0:8]>>[*:1]-[*:8]-[*:6]-1(-[*:7])-[*:2]-[*:3]-[*:4]-[*:5]-1	Any
1.1.1_10.rev	Any	[#1;D1R0:1][#8;H1D2:2][#6:3]1[#6:7][#6:6][#6:5][#8;H0D2:4]1>>[*:1]-[*:4]-[*:5]-[*:6]-[*:7]-[*:3]=[*:2]	Any	
1.1.1_11	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:8][#8;H1D2R0:7][#6;D4;H1,H2,H3AR0:5]([#1;D1R0:6])([#6,#1D1AR0:9])[#6,#1D1AR0:10]>>[#1+:6].[*:9]-[*:5](-[*:10])=[*:7].[*:8]-[*:4]-[*:3]=[*:2]-[#7+0:1]	cpd00067;Any;cpd00004	
1.1.1_11.rev	cpd00004;cpd00067;Any	[#1;D1R0:5][#6;H2D4:4][#6;H0D3:3]=[#6;H1D3:2][#7;H0D3:1].[#1;R0:6].[#1D1AR0,#6:9][#6;D3;H0,H1,H2:7]([#1D1AR0,#6:10])=[#8;H0D1AR0,#7H0D2,#7H1D2AR0:8]>>[#7+:1]=[*:2]-[*:3]=[*:4].[*:6]-[*:8]-[*:7](-[*:5])(-[*:9])-[*:10]	cpd00003;Any	
1.1.3_01	Any;cpd00007	[#1;D1R0:10][#8;H1D2R0:9][#6:4]1([#1;D1R0:8])[#6:3]([#1;D1R0:7])[#6:2]([#1;D1R0:6])[#8;H0D2:1][#6:5]1=[#8;H0D1R0:11].[#8;H0D1R0:12]=[#8;H0D1R0:13]>>[*:8]-[*:12]-[*:13]-[*:10].[*:6]-[*:2]-1-[*:1]-[*:5](=[*:11])-[*:4](=[*:9])-[*:3]-1-[*:7]	cpd00025;Any
1.1.3_02	Any;cpd00007	[#1;D1R0:13][#8;H1D2R0:12][#6:6]1([#1;D1R0:11])[#8;H0D2:1][#6:2]([#1;D1R0:7])[#6:3]([#1;D1R0:8])[#6:4]([#1;D1R0:9])[#6:5]1([#1;D1R0:10])[#8;H1D2R0:14].[#8;H0D1R0:15]=[#8;H0D1R0:16]>>[*:11]-[*:15]-[*:16]-[*:13].[*:7]-[*:2]-1-[*:1]-[*:6](=[*:12])-[*:5](-[*:10])(-[*:14])-[*:4](-[*:9])-[*:3]-1-[*:8]	cpd00025;Any	
