,rule,rule_id
0,rule0001,6.0
1,rule0001,6.0
2,rule0001,6.0
3,rule0001,6.0
4,rule0001,6.0
5,rule0001,6.0
6,rule0001,6.0
7,rule0001,6.0
8,rule0001,6.0
9,rule0001,6.0
10,rule0001,6.0
11,rule0001,6.0
12,rule0001,6.0
13,rule0001,6.0
14,rule0001,6.0
15,rule0001,6.0
16,rule0001,6.0
17,rule0001,6.0
18,rule0001,6.0
19,rule0001,6.0
20,rule0001,6.0
21,rule0001,6.0
22,rule0001,6.0
23,rule0001,6.0
24,rule0001,6.0
25,rule0001,6.0
26,rule0001,6.0
27,rule0001,6.0
28,rule0001,6.0
29,rule0001,6.0
30,rule0001,6.0
31,rule0001,6.0
32,rule0001,6.0
33,rule0001,6.0
34,rule0001,6.0
35,rule0001,6.0
36,rule0001,6.0
37,rule0001,6.0
38,rule0001,6.0
39,rule0001,6.0
40,rule0001,6.0
41,rule0001,6.0
42,rule0001,6.0
43,rule0001,6.0
44,rule0001,6.0
45,rule0001,6.0
46,rule0001,6.0
47,rule0001,6.0
48,rule0001,6.0
49,rule0001,6.0
50,rule0001,6.0
51,rule0001,6.0
52,rule0001,6.0
53,rule0001,6.0
54,rule0001,6.0
55,rule0001,6.0
56,rule0001,6.0
57,rule0001,6.0
58,rule0001,6.0
59,rule0001,6.0
60,rule0001,6.0
61,rule0001,6.0
62,rule0001,6.0
63,rule0001,6.0
64,rule0001,6.0
65,rule0001,6.0
66,rule0001,6.0
67,rule0001,6.0
68,rule0001,6.0
69,rule0001,6.0
70,rule0001,6.0
71,rule0001,6.0
72,rule0001,6.0
73,rule0001,6.0
74,rule0001,6.0
75,rule0001,6.0
76,rule0001,6.0
77,rule0001,6.0
78,rule0001,6.0
79,rule0001,6.0
80,rule0001,6.0
81,rule0001,6.0
82,rule0001,6.0
83,rule0001,6.0
84,rule0001,6.0
85,rule0001,6.0
86,rule0001,6.0
87,rule0001,6.0
88,rule0001,6.0
89,rule0001,6.0
90,rule0001,6.0
91,rule0001,6.0
92,rule0001,6.0
93,rule0001,6.0
94,rule0001,6.0
95,rule0001,6.0
96,rule0001,6.0
97,rule0001,6.0
98,rule0001,6.0
99,rule0001,6.0
100,rule0001,6.0
101,rule0001,6.0
102,rule0001,6.0
103,rule0001,6.0
104,rule0001,6.0
105,rule0001,6.0
106,rule0001,6.0
107,rule0001,6.0
108,rule0001,6.0
109,rule0001,6.0
110,rule0001,6.0
111,rule0001,6.0
112,rule0001,6.0
113,rule0001,6.0
114,rule0001,6.0
115,rule0001,6.0
116,rule0001,6.0
117,rule0001,6.0
118,rule0001,6.0
119,rule0001,6.0
120,rule0001,6.0
121,rule0001,6.0
122,rule0001,6.0
123,rule0001,6.0
124,rule0001,6.0
125,rule0001,6.0
126,rule0001,6.0
127,rule0001,6.0
128,rule0001,6.0
129,rule0001,6.0
130,rule0001,6.0
131,rule0001,6.0
132,rule0001,6.0
133,rule0001,6.0
134,rule0001,6.0
135,rule0001,6.0
136,rule0001,6.0
137,rule0001,6.0
138,rule0001,6.0
139,rule0001,6.0
140,rule0001,6.0
141,rule0001,6.0
142,rule0001,6.0
143,rule0001,6.0
144,rule0001,6.0
145,rule0001,6.0
146,rule0001,6.0
147,rule0001,6.0
148,rule0001,6.0
149,rule0001,6.0
150,rule0001,6.0
151,rule0001,6.0
152,rule0001,6.0
153,rule0001,6.0
154,rule0001,6.0
155,rule0001,6.0
156,rule0001,6.0
157,rule0001,6.0
158,rule0001,6.0
159,rule0001,6.0
160,rule0001,6.0
161,rule0001,6.0
162,rule0001,6.0
163,rule0001,6.0
164,rule0001,6.0
165,rule0001,6.0
166,rule0001,6.0
167,rule0001,6.0
168,rule0001,6.0
169,rule0001,6.0
170,rule0001,6.0
171,rule0001,6.0
172,rule0001,6.0
173,rule0001,6.0
174,rule0001,6.0
175,rule0001,6.0
176,rule0001,6.0
177,rule0001,6.0
178,rule0001,6.0
179,rule0001,6.0
180,rule0001,6.0
181,rule0001,6.0
182,rule0001,6.0
183,rule0001,6.0
184,rule0001,6.0
185,rule0001,6.0
186,rule0001,6.0
187,rule0001,6.0
188,rule0001,6.0
189,rule0001,6.0
190,rule0001,6.0
191,rule0001,6.0
192,rule0001,6.0
193,rule0001,6.0
194,rule0001,6.0
195,rule0001,6.0
196,rule0001,6.0
197,rule0001,6.0
198,rule0001,6.0
199,rule0001,6.0
200,rule0001,6.0
201,rule0001,6.0
202,rule0001,6.0
203,rule0001,6.0
204,rule0001,6.0
205,rule0001,6.0
206,rule0001,6.0
207,rule0001,6.0
208,rule0001,6.0
209,rule0001,6.0
210,rule0001,6.0
211,rule0001,6.0
212,rule0001,6.0
213,rule0001,6.0
214,rule0001,6.0
215,rule0001,6.0
216,rule0001,6.0
217,rule0001,6.0
218,rule0001,6.0
219,rule0001,6.0
220,rule0001,6.0
221,rule0001,6.0
222,rule0001,6.0
223,rule0001,6.0
224,rule0001,6.0
225,rule0001,6.0
226,rule0001,6.0
227,rule0001,6.0
228,rule0001,6.0
229,rule0001,6.0
230,rule0001,6.0
231,rule0001,6.0
