Reactions	Rules
1.1.1.292-RXN_reverse	rule0002
1.1.1.34-RXN	rule0179
1.1.1.34-RXN_reverse	rule0180
1.1.1.39-RXN	rule0080
1.1.1.39-RXN_reverse	rule0081
1.1.1.43-RXN	rule0003
1.1.1.43-RXN_reverse	rule0002
1.1.1.51-RXN	rule0003
1.1.1.51-RXN_reverse	rule0002
1.1.1.52-RXN	rule0003
1.1.1.52-RXN_reverse	rule0002
1.1.1.53-RXN	rule0003
1.1.1.53-RXN_reverse	rule0002
1.1.1.64-RXN	rule0003
1.1.1.64-RXN_reverse	rule0002
1.1.1.8-RXN	rule0003
1.1.1.8-RXN_reverse	rule0002
1.1.1.83-RXN	rule0080
1.1.1.83-RXN_reverse	rule0081
1.1.1.92-RXN	rule0995
1.1.1.92-RXN_reverse	rule0996
1.1.1.97-RXN	rule0003
1.1.1.97-RXN_reverse	rule0002
1.1.1.98-RXN	rule0003
1.1.1.98-RXN_reverse	rule0002
1.1.1.99-RXN	rule0003
1.1.1.99-RXN_reverse	rule0002
1.1.3.32-RXN	rule0149
1.1.3.32-RXN_reverse	rule0144
1.1.3.36-RXN	rule0149
1.1.3.36-RXN_reverse	rule0144
1.1.3.37-RXN	rule0114
1.1.3.37-RXN_reverse	rule0109
1.1.3.38-RXN	rule0078
1.1.3.38-RXN_reverse	rule0074
1.1.3.40-RXN	rule0078
1.1.3.40-RXN_reverse	rule0074
1.1.3.41-RXN	rule0681
1.1.3.41-RXN_reverse	rule0682
1.1.4.1-RXN	rule0997
1.1.4.1-RXN_reverse	rule0998
1.1.4.2-RXN	rule0999
1.1.4.2-RXN_reverse	rule1000
1.1.99.28-RXN	rule0324
1.1.99.28-RXN_reverse	rule0324
1.13.11.10-RXN	rule0683
1.13.11.10-RXN_reverse	rule0684
1.13.11.14-RXN	rule0052
1.13.11.14-RXN_reverse	rule0054
1.13.11.15-RXN	rule0052
1.13.11.15-RXN_reverse	rule0054
1.13.11.16-RXN	rule0052
1.13.11.16-RXN_reverse	rule0054
1.13.11.25-RXN	rule0052
1.13.11.25-RXN_reverse	rule0054
1.13.11.28-RXN	rule0052
1.13.11.28-RXN_reverse	rule0054
1.13.11.38-RXN	rule0052
1.13.11.38-RXN_reverse	rule1001
1.13.11.41-RXN	rule0443
1.13.11.41-RXN_reverse	rule0444
1.13.11.45-RXN	rule0538
1.13.11.45-RXN_reverse	rule0539
1.13.11.46-RXN	rule0445
1.13.11.46-RXN_reverse	rule0446
1.13.11.47-RXN	rule0685
1.13.11.47-RXN_reverse	rule0686
1.13.11.48-RXN	rule0685
1.13.11.48-RXN_reverse	rule0686
1.13.11.6-RXN	rule0052
1.13.11.6-RXN_reverse	rule0054
1.13.12.12-RXN	rule0117
1.13.12.12-RXN_reverse	rule0118
1.14.11.1-RXN	rule0044
1.14.11.1-RXN_reverse	rule0045
1.14.11.10-RXN	rule0380
1.14.11.10-RXN_reverse	rule0381
1.14.11.18-RXN	rule0044
1.14.11.18-RXN_reverse	rule0045
1.14.11.2-RXN	rule0044
1.14.11.2-RXN_reverse	rule0045
1.14.11.20-RXN	rule0044
1.14.11.20-RXN_reverse	rule0045
1.14.11.21-RXN	rule0044
1.14.11.21-RXN_reverse	rule0045
1.14.11.24-RXN	rule0044
1.14.11.24-RXN_reverse	rule0045
1.14.11.26-RXN	rule0044
1.14.11.26-RXN_reverse	rule0045
1.14.11.28-RXN	rule0044
1.14.11.28-RXN_reverse	rule0045
1.14.11.3-RXN	rule0044
1.14.11.3-RXN_reverse	rule0045
1.14.11.9-RXN	rule0044
1.14.11.9-RXN_reverse	rule0045
1.14.12.1-RXN	rule1002
1.14.12.1-RXN_reverse	rule1003
1.14.12.15-RXN	rule0103
1.14.12.15-RXN_reverse	rule0094
1.14.12.16-RXN	rule0447
1.14.12.16-RXN_reverse	rule0094
1.14.12.18-RXN	rule0103
1.14.12.18-RXN_reverse	rule0094
1.14.12.4-RXN	rule0687
1.14.12.4-RXN_reverse	rule0688
1.14.13.10-RXN	rule0005
1.14.13.10-RXN_reverse	rule0004
1.14.13.101-RXN	rule0325
1.14.13.101-RXN_reverse	rule0326
1.14.13.103-RXN	rule0005
1.14.13.103-RXN_reverse	rule0004
1.14.13.18-RXN	rule1004
1.14.13.18-RXN_reverse	rule1005
1.14.13.33-RXN	rule0005
1.14.13.33-RXN_reverse	rule0004
1.14.13.35-RXN	rule0540
1.14.13.35-RXN_reverse	rule0541
1.14.13.36-RXN	rule0005
1.14.13.36-RXN_reverse	rule0004
1.14.13.37-RXN	rule0689
1.14.13.37-RXN_reverse	rule0690
1.14.13.55-RXN	rule0005
1.14.13.55-RXN_reverse	rule0004
1.14.13.56-RXN	rule0005
1.14.13.56-RXN_reverse	rule0004
1.14.13.57-RXN	rule0005
1.14.13.57-RXN_reverse	rule0004
1.14.13.58-RXN	rule0005
1.14.13.58-RXN_reverse	rule0004
1.14.13.59-RXN	rule0133
1.14.13.59-RXN_reverse	rule0134
1.14.13.61-RXN	rule0005
1.14.13.61-RXN_reverse	rule0004
1.14.13.62-RXN	rule0005
1.14.13.62-RXN_reverse	rule0004
1.14.13.63-RXN	rule0005
1.14.13.63-RXN_reverse	rule0004
1.14.13.64-RXN	rule0187
1.14.13.64-RXN_reverse	rule0188
1.14.13.66-RXN	rule0082
1.14.13.66-RXN_reverse	rule0083
1.14.13.67-RXN	rule0005
1.14.13.67-RXN_reverse	rule0004
1.14.13.69-RXN	rule0068
1.14.13.69-RXN_reverse	rule0077
1.14.13.71-RXN	rule0005
1.14.13.71-RXN_reverse	rule0004
1.14.13.72-RXN	rule0005
1.14.13.72-RXN_reverse	rule0004
1.14.13.73-RXN	rule0005
1.14.13.73-RXN_reverse	rule0004
1.14.13.74-RXN	rule0005
1.14.13.74-RXN_reverse	rule0004
1.14.13.75-RXN	rule0005
1.14.13.75-RXN_reverse	rule0004
1.14.13.76-RXN	rule0005
1.14.13.76-RXN_reverse	rule0004
1.14.13.77-RXN	rule0005
1.14.13.77-RXN_reverse	rule0004
1.14.13.78-RXN	rule0005
1.14.13.78-RXN_reverse	rule0004
1.14.13.79-RXN	rule0005
1.14.13.79-RXN_reverse	rule0004
1.14.13.8-RXN	rule0325
1.14.13.8-RXN_reverse	rule0326
1.14.13.84-RXN	rule0523
1.14.13.84-RXN_reverse	rule0327
1.14.13.91-RXN	rule0005
1.14.13.91-RXN_reverse	rule0004
1.14.13.92-RXN	rule0082
1.14.13.92-RXN_reverse	rule0083
1.14.13.93-RXN	rule0005
1.14.13.93-RXN_reverse	rule0004
1.14.13.94-RXN	rule0005
1.14.13.94-RXN_reverse	rule0004
1.14.13.96-RXN	rule0005
1.14.13.96-RXN_reverse	rule0004
